"stop_id","stopa_name","lat","lng"
"12214","Alfa Collage (Chikka Gubbi)(towards - CHikkagubbi)","13.07702367","77.66199747"
"12215","Alfa Collage (Chikkagubbi)(towards - Hennur Cross)","13.07698840","77.66201223"
"3095","Ali  bommasandra (towards - Lakshmi  Sagara )","12.82025586","77.73643934"
"3094","Ali  bommasandra (towards - Mutthanallur)","12.82032563","77.73643950"
"8447","Alisda(towards - Goraguntapalya)","13.03398306","77.54105330"
"8446","Alisda(towards - BEL Circle)","13.03401965","77.54100770"
"12220","All India Radio (towards - Last Bus Stop)","12.98312353","77.59370439"
"6889","Allagondahalli(towards - Doddaganahalli)","13.05412406","77.91574381"
"6890","Allagondahalli(towards - Hosakote)","13.05410055","77.91572571"
"8981","Allalasandra","13.08825785","77.58859746"
"8997","Allalasandra(towards - Allalasandra Gate)","13.08820102","77.58866653"
"6625","Allalasandra(towards - Hugarapalya)","12.73314825","77.45371789"
"6622","Allalasandra","12.74377000","77.46296883"
"6621","Allalasandra","12.74291190","77.46318340"
"6626","Allalasandra (Kaggalahalli)(towards - Byramangala)","12.73305407","77.45350599"
"8956","Allalasandra Gate(towards - Allalasandra Main Road)","13.08694505","77.59330273"
"12440","Allalasandra Gate(towards - Yelahanka Police Station)","13.08681377","77.59372048"
"4975","Allalasandra Gate(towards - Yelahanka)","13.08540755","77.59421468"
"5005","Allalasandra Gate(towards - Hebbala)","13.08737154","77.59556718"
"12439","Allalasandra Gate(towards - Hebbala)","13.08679809","77.59383112"
"10423","Allalasandra Janapriya Apartments(towards - Sheshadripuram College Yelahanka)","13.08802991","77.58741930"
"10424","Allalasandra Janapriya Apartments(towards - Last Point)","13.08798222","77.58745350"
"10061","Allammanapalya(towards - Madapatna)","12.93554418","77.36617595"
"10060","Allammanapalya","12.93560169","77.36610151"
"4594","Aluru(towards - Makali)","13.08490176","77.46560622"
"4593","Aluru(towards - Aluru Palya)","13.08495150","77.46551491"
"4569","Aluru Cross(towards - Aluru)","13.08230842","77.47472246"
"4570","Aluru Cross(towards - Kuduregere)","13.08236941","77.47476447"
"3241","Alurupalya(towards - Narasipura)","13.09713430","77.47054370"
"3232","Alurupalya(towards - Aluru)","13.09717027","77.47062738"
"7381","Amarajyothi Badavane","13.05533122","77.62916386"
"7380","Amarajyothi Badavane(towards - End Stop)","13.05523977","77.62922153"
"10250","Amarajyotinagara","13.03597947","77.59590313"
"9024","Amba Bhavani Nagara(towards - MS Palya)","13.09712462","77.54599124"
"9023","Amba Bhavani Nagara(towards - Veerasagara)","13.09720756","77.54593759"
"1998","Ambedkar Institute of Technology(towards - Kottigepalya)","12.96320595","77.50498594"
"548","Ambedkar Institute of Technology(towards - Kengeri)","12.96309009","77.50517875"
"7386","Ambedkar Medical College Shampura(towards - Periyarnagara Circle)","13.02336709","77.61258513"
"7387","Ambedkar Medical College Shampura(towards - Last Bus Stop)","13.02332136","77.61248589"
"2128","Ambedkar nagar","12.89901684","77.71313221"
"3631","Ambedkarnagara","12.89911179","77.71326989"
"3960","Ambika School(towards - Thyamagondlu)","13.15775238","77.33712117"
"3961","Ambika School(towards - T Begur)","13.15774722","77.33718624"
"1126","AMC Collage(towards - Kalkere)","12.82990430","77.58778000"
"101","AMC College(towards - Bannerughatta National Park)","12.82948817","77.58772479"
"11414","AMD India Pvt Ltd","12.97502699","77.72545785"
"11955","Amma Ashrama(towards - Nagemane)","12.94608156","77.48667687"
"8565","Amma Ashrama Cross(towards - Bangalore University Quarters)","12.94950691","77.48880923"
"8564","Amma Ashrama Cross(towards - Vidyaniketan Public School)","12.94944359","77.48907879"
"904","Ammruthahalli(towards - Byatarayanapura)","13.06568309","77.60078122"
"1743","Amogha Layout(towards - Avalahalli)","13.07507262","77.71817603"
